Area,Genre,Name,Platform,Publisher,SumofRank,SumOfSales,Year
EU_Sales,Action,Alan Wake,PC,Nordic Games,12110,0.06,2012
EU_Sales,Action,Alan Wake,X360,Microsoft Game Studios,1444,0.51,2010
EU_Sales,Action,Aliens: Infestation,DS,Sega,8131,0.06,2011
EU_Sales,Action,All Kamen Rider: Rider Generation,DS,Namco Bandai Games,9722,0,2011
EU_Sales,Action,All Kamen Rider: Rider Generation 2,DS,Namco Bandai Games,10591,0,2012
EU_Sales,Action,All Kamen Rider: Rider Generation 2,PSP,Namco Bandai Games,12636,0,2012
EU_Sales,Action,All Star Karate,Wii,THQ,7120,0.07,2010
EU_Sales,Action,Alpha and Omega,DS,Unknown,12029,0,2010
EU_Sales,Action,America's Next Top Model,Wii,Crave Entertainment,11348,0,2010
EU_Sales,Action,Anarchy Reigns,PS3,Sega,7484,0.03,2012
EU_Sales,Action,Anarchy Reigns,X360,Sega,8454,0.02,2012
EU_Sales,Action,Angelique Retour,PSV,Tecmo Koei,15452,0,2015
EU_Sales,Action,Angry Birds Trilogy,3DS,Activision,3208,0.2,2012
EU_Sales,Action,Angry Birds Trilogy,PS3,Activision,8546,0.02,2012
EU_Sales,Action,Angry Birds Trilogy,X360,Activision,6437,0.06,2012
EU_Sales,Action,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,5pb,14955,0,2012
EU_Sales,Action,Ao no Exorcist: Genkoku no Labyrinth,PSP,Namco Bandai Games,13924,0,2012
EU_Sales,Action,Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,Comfort,15400,0,2012
EU_Sales,Action,Army Corps of Hell,PSV,Square Enix,10456,0.04,2011
EU_Sales,Action,Around the World in 80 Days,DS,PlayV,8494,0.14,2010
EU_Sales,Action,Arslan: The Warriors of Legend,PS3,Tecmo Koei,13413,0,2015
EU_Sales,Action,Arslan: The Warriors of Legend,PS4,Tecmo Koei,11299,0.01,2015
EU_Sales,Action,Art Academy: Lessons for Everyone,3DS,Nintendo,4249,0.03,2012
EU_Sales,Action,Asphalt: Injection,PSV,Ubisoft,6988,0.06,2011
EU_Sales,Action,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,Namco Bandai Games,9583,0,2015
EU_Sales,Action,Assassin's Creed Chronicles: China,PS4,Ubisoft,14085,0.03,2015
EU_Sales,Action,Assassin's Creed II,PC,Ubisoft,3528,0.45,2010
EU_Sales,Action,Assassin's Creed III,PC,Ubisoft,2204,0.53,2012
EU_Sales,Action,Assassin's Creed III,PS3,Ubisoft,129,2.56,2012
EU_Sales,Action,Assassin's Creed III,WiiU,Ubisoft,5201,0.13,2012
EU_Sales,Action,Assassin's Creed III,X360,Ubisoft,173,1.71,2012
EU_Sales,Action,Assassin's Creed III: Liberation,PSV,Ubisoft,1288,0.55,2012
EU_Sales,Action,Assassin's Creed IV: Black Flag,PC,Ubisoft,2963,0.38,2013
EU_Sales,Action,Assassin's Creed IV: Black Flag,PS3,Ubisoft,308,1.71,2013
EU_Sales,Action,Assassin's Creed IV: Black Flag,PS4,Ubisoft,547,1.31,2013
EU_Sales,Action,Assassin's Creed IV: Black Flag,WiiU,Ubisoft,5975,0.09,2013
EU_Sales,Action,Assassin's Creed IV: Black Flag,X360,Ubisoft,402,1.14,2013
EU_Sales,Action,Assassin's Creed IV: Black Flag,XOne,Ubisoft,733,0.55,2013
EU_Sales,Action,Assassin's Creed Syndicate,PC,Ubisoft,7563,0.08,2015
EU_Sales,Action,Assassin's Creed Syndicate,PS4,Ubisoft,410,1.92,2015
EU_Sales,Action,Assassin's Creed Syndicate,XOne,Ubisoft,1545,0.56,2015
EU_Sales,Action,Assassin's Creed: Brotherhood,PC,Ubisoft,3392,0.34,2011
EU_Sales,Action,Assassin's Creed: Brotherhood,PS3,Ubisoft,515,0.57,2010
EU_Sales,Action,Assassin's Creed: Brotherhood,X360,Ubisoft,374,0.39,2010
EU_Sales,Action,Assassin's Creed: Revelations,PC,Ubisoft,2714,0.48,2011
EU_Sales,Action,Assassin's Creed: Revelations,PS3,Ubisoft,264,2.02,2011
EU_Sales,Action,Assassin's Creed: Revelations,X360,Ubisoft,274,1.47,2011
EU_Sales,Action,Assassin's Creed: Rogue,PC,Ubisoft,12049,0.02,2015
EU_Sales,Action,Assassin's Creed: Rogue,PS3,Ubisoft,1415,0.62,2014
EU_Sales,Action,Assassin's Creed: Rogue,X360,Ubisoft,1966,0.38,2014
EU_Sales,Action,Assassin's Creed: Unity,PC,Ubisoft,3658,0.33,2014
EU_Sales,Action,Assassin's Creed: Unity,PS4,Ubisoft,305,1.96,2014
EU_Sales,Action,Assassin's Creed: Unity,XOne,Ubisoft,382,0.89,2014
EU_Sales,Action,Asura's Wrath,PS3,Capcom,4776,0.12,2012
EU_Sales,Action,Asura's Wrath,X360,Capcom,6911,0.06,2012
EU_Sales,Action,Attack on Titan: Humanity in Chains,3DS,Screenlife,4679,0,2013
EU_Sales,Action,Bad Apple Wars,PSV,Idea Factory,14441,0,2015
EU_Sales,Action,Bakemonogatari Portable,PSP,Namco Bandai Games,13075,0,2012
EU_Sales,Action,Bakugan Battle Brawlers: Defenders of the Core,DS,Activision,4049,0.02,2010
EU_Sales,Action,Bakugan Battle Brawlers: Defenders of the Core,PS3,Activision,8458,0.01,2010
EU_Sales,Action,Bakugan Battle Brawlers: Defenders of the Core,PSP,Activision,8855,0.04,2010
EU_Sales,Action,Bakugan Battle Brawlers: Defenders of the Core,Wii,Activision,8395,0.01,2010
EU_Sales,Action,Bakugan Battle Brawlers: Defenders of the Core,X360,Activision,8972,0.02,2010
EU_Sales,Action,Bakugan: Battle Trainer,DS,Activision,9382,0,2010
EU_Sales,Action,Bakumatsu Rock,PSP,Marvelous Entertainment,16219,0,2014
EU_Sales,Action,Barbie and Her Sisters Puppy Rescue,3DS,Namco Bandai Games,14046,0.03,2015
EU_Sales,Action,Barbie and Her Sisters Puppy Rescue,PS3,Namco Bandai Games,15942,0.01,2015
EU_Sales,Action,Barbie and Her Sisters Puppy Rescue,Wii,Namco Bandai Games,12433,0.06,2015
EU_Sales,Action,Barbie and Her Sisters Puppy Rescue,WiiU,Namco Bandai Games,16107,0.01,2015
EU_Sales,Action,Barbie: Groom and Glam Pups,DS,THQ,4468,0.14,2010
EU_Sales,Action,Barbie: Groom and Glam Pups,Wii,THQ,7205,0.02,2010
EU_Sales,Action,Batman: Arkham City,PC,Warner Bros. Interactive Entertainment,3791,0.28,2011
EU_Sales,Action,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,160,1.91,2011
EU_Sales,Action,Batman: Arkham City,WiiU,Warner Bros. Interactive Entertainment,4995,0.18,2012
EU_Sales,Action,Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,223,1.31,2011
EU_Sales,Action,Batman: Arkham Knight,PC,Warner Bros. Interactive Entertainment,9571,0.03,2015
EU_Sales,Action,Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,323,1.58,2015
EU_Sales,Action,Batman: Arkham Knight,XOne,Warner Bros. Interactive Entertainment,1319,0.46,2015
EU_Sales,Action,Batman: Arkham Origins,PC,Warner Bros. Interactive Entertainment,5584,0.16,2013
EU_Sales,Action,Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,656,0.87,2013
EU_Sales,Action,Batman: Arkham Origins,WiiU,Warner Bros. Interactive Entertainment,5567,0.09,2013
EU_Sales,Action,Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,887,0.61,2013
EU_Sales,Action,Batman: Arkham Origins Blackgate,3DS,Warner Bros. Interactive Entertainment,6395,0.09,2013
EU_Sales,Action,Batman: Arkham Origins Blackgate,PSV,Warner Bros. Interactive Entertainment,3813,0.2,2013
EU_Sales,Action,Batman: The Brave and the Bold the Videogame,DS,Warner Bros. Interactive Entertainment,5846,0.04,2010
EU_Sales,Action,Batman: The Brave and the Bold the Videogame,Wii,Warner Bros. Interactive Entertainment,5952,0.06,2010
EU_Sales,Action,Bayonetta 2,WiiU,Nintendo,2043,0.28,2014
EU_Sales,Action,Ben 10 Omniverse 2,3DS,Namco Bandai Games,15621,0.02,2013
EU_Sales,Action,Ben 10 Omniverse 2,X360,Namco Bandai Games,16101,0.01,2013
EU_Sales,Action,Beyblade Evolution,3DS,Rising Star Games,14557,0.01,2013
EU_Sales,Action,Beyblade: Metal Masters,DS,Konami Digital Entertainment,6150,0.1,2010
EU_Sales,Action,Binary Domain,PS3,Sega,5449,0.08,2012
EU_Sales,Action,Binary Domain,X360,Sega,7832,0.07,2012
EU_Sales,Action,Biohazard: Revival Selection,PS3,Capcom,8176,0,2011
EU_Sales,Action,Biohazard: Revival Selection,X360,Capcom,14696,0,2011
EU_Sales,Action,Blades of Time,PS3,Konami Digital Entertainment,10601,0.03,2012
EU_Sales,Action,Blades of Time,X360,Konami Digital Entertainment,10335,0.03,2012
EU_Sales,Action,Bladestorm: Nightmare,PS3,Tecmo Koei,14582,0,2015
EU_Sales,Action,Bladestorm: Nightmare,PS4,Tecmo Koei,8530,0.04,2015
EU_Sales,Action,Bladestorm: Nightmare,XOne,Tecmo Koei,13217,0.02,2015
EU_Sales,Action,BlazBlue: Chrono Phantasma Extend,PS3,PQube,13832,0,2015
EU_Sales,Action,BlazBlue: Chrono Phantasma Extend,PS4,PQube,9263,0.03,2015
EU_Sales,Action,BlazBlue: Chrono Phantasma Extend,PSV,PQube,11995,0.05,2015
EU_Sales,Action,BlazBlue: Chrono Phantasma Extend,XOne,PQube,12521,0.01,2015
EU_Sales,Action,Bloodborne,PS4,Sony Computer Entertainment,662,0.76,2015
EU_Sales,Action,Book of Spells,PS3,Sony Computer Entertainment,2931,0.4,2012
EU_Sales,Action,Boot Camp Academy,Wii,Zoo Games,14403,0,2010
EU_Sales,Action,Brave: The Video Game,DS,Disney Interactive Studios,15251,0.02,2012
EU_Sales,Action,Brave: The Video Game,Wii,Disney Interactive Studios,15107,0.02,2012
EU_Sales,Action,Brothers Conflict: Passion Pink,PSP,Idea Factory,14773,0,2012
EU_Sales,Action,Bullet Girls,PSV,D3Publisher,12289,0,2014
EU_Sales,Action,Bunmei Haruka: Aoiza Ibunroku,PSP,FuRyu,14979,0,2011
EU_Sales,Action,Bunmei Kaika: Aoiza Ibunroku Saien,PSP,FuRyu,16217,0,2012
EU_Sales,Action,Busou Shinki: Battle Masters,PSP,Konami Digital Entertainment,11835,0,2010
EU_Sales,Action,Busou Shinki: Battle Masters Mk. 2,PSP,Konami Digital Entertainment,10412,0,2011
EU_Sales,Action,Call of Duty Black Ops: Declassified,PSV,Activision,1073,0.52,2012
EU_Sales,Action,Capcom Digital Collection,X360,Capcom,14864,0.01,2012
EU_Sales,Action,Captain America: Super Soldier,3DS,Sega,11317,0.02,2011
EU_Sales,Action,Captain America: Super Soldier,PS3,Sega,7574,0.07,2011
EU_Sales,Action,Captain America: Super Soldier,X360,Sega,8182,0.05,2011
EU_Sales,Action,Castlevania: Lords of Shadow,PS3,Konami Digital Entertainment,1824,0.37,2010
EU_Sales,Action,Castlevania: Lords of Shadow,X360,Konami Digital Entertainment,3035,0.18,2010
EU_Sales,Action,Castlevania: Lords of Shadow - Mirror of Fate,3DS,Konami Digital Entertainment,8847,0.07,2013
EU_Sales,Action,Castlevania: Lords of Shadow - Reverie,PS3,Konami Digital Entertainment,14008,0.01,2011
EU_Sales,Action,Castlevania: Lords of Shadow - Reverie,X360,Konami Digital Entertainment,15058,0,2011
EU_Sales,Action,Castlevania: Lords of Shadow 2,PC,Konami Digital Entertainment,13827,0.03,2014
EU_Sales,Action,Castlevania: Lords of Shadow 2,PS3,Konami Digital Entertainment,7204,0.13,2014
EU_Sales,Action,Castlevania: Lords of Shadow 2,X360,Konami Digital Entertainment,10491,0.07,2014
EU_Sales,Action,Cats & Dogs: The Revenge of Kitty Galore,DS,505 Games,10315,0,2010
EU_Sales,Action,Chicken Riot,Wii,City Interactive,5372,0.16,2010
EU_Sales,Action,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,Namco Bandai Games,11909,0,2012
EU_Sales,Action,Chuck E. Cheese's Super Collection,Wii,UFO Interactive,15336,0,2011
EU_Sales,Action,Clash of Elementalists,3DS,Unknown,14158,0.03,2013
EU_Sales,Action,Clash of Elementalists,DS,Level 5,4184,0,2010
EU_Sales,Action,Clash of the Titans,PS3,Namco Bandai Games,5554,0.16,2010
EU_Sales,Action,Clash of the Titans,X360,Namco Bandai Games,8493,0.06,2010
EU_Sales,Action,Clock Zero: Shuuen no Ichibyou - ExTime,PSV,Idea Factory,15772,0,2015
EU_Sales,Action,Code of Princess,3DS,Agatsuma Entertainment,7631,0,2012
EU_Sales,Action,Country Dance: All Stars,X360,GameMill Entertainment,8368,0,2012
EU_Sales,Action,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,Namco Bandai Games,11116,0,2010
EU_Sales,Action,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,Namco Bandai Games,12020,0,2010
EU_Sales,Action,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,3DS,Namco Bandai Games,15395,0,2011
EU_Sales,Action,Create,PC,Electronic Arts,12549,0.01,2010
EU_Sales,Action,Create,PS3,Electronic Arts,8485,0.03,2010
EU_Sales,Action,Create,Wii,Electronic Arts,6453,0.03,2010
EU_Sales,Action,Create,X360,Electronic Arts,9202,0.03,2010
EU_Sales,Action,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,Namco Bandai Games,15004,0,2015
EU_Sales,Action,Crysis 2,PC,Electronic Arts,2781,0.45,2011
EU_Sales,Action,Crysis 2,PS3,Electronic Arts,1517,0.57,2011
EU_Sales,Action,Crysis 2,X360,Electronic Arts,1452,0.5,2011
EU_Sales,Action,Custom Drive,PSP,D3Publisher,15813,0,2012
EU_Sales,Action,DaGeDar,DS,GameMill Entertainment,11005,0,2011
EU_Sales,Action,Danball Senki Boost,PSP,Level 5,7157,0,2011
EU_Sales,Action,Danganronpa Another Episode: Ultra Despair Girls,PSV,Nippon Ichi Software,6212,0.03,2014
EU_Sales,Action,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,Namco Bandai Games,11622,0,2012
EU_Sales,Action,Daniel X: The Ultimate Power,DS,THQ,11639,0,2010
EU_Sales,Action,Dante's Inferno,PS3,Electronic Arts,1889,0.28,2010
EU_Sales,Action,Dante's Inferno,PSP,Electronic Arts,7793,0.03,2010
EU_Sales,Action,Dante's Inferno,X360,Electronic Arts,2256,0.2,2010
EU_Sales,Action,Dark Void,PC,Capcom,15792,0.01,2010
EU_Sales,Action,Dark Void,PS3,Capcom,5232,0.12,2010
EU_Sales,Action,Dark Void,X360,Capcom,5742,0.09,2010
EU_Sales,Action,Darksiders,PC,THQ,8795,0.06,2010
EU_Sales,Action,Darksiders,PS3,THQ,15201,0.01,2010
EU_Sales,Action,Darksiders,X360,THQ,1944,0.29,2010
EU_Sales,Action,Darksiders II,PC,Nordic Games,8700,0.1,2012
EU_Sales,Action,Darksiders II,PS3,THQ,2414,0.37,2012
EU_Sales,Action,Darksiders II,PS4,Nordic Games,7282,0.1,2015
EU_Sales,Action,Darksiders II,WiiU,THQ,8648,0.07,2012
EU_Sales,Action,Darksiders II,X360,THQ,2584,0.28,2012
EU_Sales,Action,Darksiders II,XOne,Nordic Games,12547,0.02,2015
EU_Sales,Action,Date-A-Live Twin Edition: Rio Reincarnation,PSV,Compile Heart,15475,0,2015
EU_Sales,Action,Dead Island,PC,Deep Silver,7267,0.07,2011
EU_Sales,Action,Dead Island,PS3,Deep Silver,695,0.75,2011
EU_Sales,Action,Dead Island,X360,Deep Silver,657,0.71,2011
EU_Sales,Action,Dead Island: Riptide,PS3,Deep Silver,3256,0.2,2013
EU_Sales,Action,Dead Island: Riptide,X360,Deep Silver,2618,0.27,2013
EU_Sales,Action,Dead Rising 2,PC,Capcom,9255,0.02,2010
EU_Sales,Action,Dead Rising 2,PS3,Capcom,1408,0.57,2010
EU_Sales,Action,Dead Rising 2,X360,Capcom,1265,0.53,2010
EU_Sales,Action,Dead Rising 2: Off the Record,PC,Capcom,12481,0.02,2011
EU_Sales,Action,Dead Rising 2: Off the Record,PS3,Capcom,5560,0.08,2011
EU_Sales,Action,Dead Rising 2: Off the Record,X360,Capcom,6249,0.09,2011
EU_Sales,Action,Dead Rising 3,XOne,Microsoft Game Studios,1210,0.35,2013
EU_Sales,Action,Dead Space 3,PS3,Electronic Arts,2077,0.38,2013
EU_Sales,Action,Dead Space 3,X360,Electronic Arts,2083,0.28,2013
EU_Sales,Action,Deadly Premonition,PS3,Rising Star Games,8732,0.05,2010
EU_Sales,Action,Deadly Premonition,X360,Rising Star Games,6402,0.06,2010
EU_Sales,Action,Deadpool,PS3,Activision,4166,0.17,2013
EU_Sales,Action,Deadpool,PS4,Activision,6261,0.1,2015
EU_Sales,Action,Deadpool,X360,Activision,4265,0.16,2013
EU_Sales,Action,Deadpool,XOne,Activision,9959,0.03,2015
EU_Sales,Action,Deception IV: Blood Ties,PS3,Tecmo Koei,9926,0.02,2014
EU_Sales,Action,Deception IV: Blood Ties,PSV,Tecmo Koei,9003,0.03,2014
EU_Sales,Action,Deer Drive: Legends,3DS,Maximum Family Games,14170,0,2012
EU_Sales,Action,Detective Conan: Phantom Rhapsody,3DS,Namco Bandai Games,14210,0,2014
EU_Sales,Action,Detective Conan: Prelude from the Past,DS,Namco Bandai Games,13130,0,2012
EU_Sales,Action,Detective Conan: Prelude from the Past,PSP,Namco Bandai Games,14098,0,2012
EU_Sales,Action,Detective Jinguuji Saburo: Ronde Revenge,3DS,Arc System Works,15297,0,2012
EU_Sales,Action,Devil May Cry 4,PS4,Capcom,10906,0,2015
EU_Sales,Action,Devil May Cry HD Collection,PS3,Capcom,2458,0.21,2012
EU_Sales,Action,Devil May Cry HD Collection,X360,Capcom,4478,0.11,2012
EU_Sales,Action,Devil's Third,WiiU,Nintendo,12428,0.02,2015
EU_Sales,Action,Diabolik Lovers: Dark Fate,PSV,Idea Factory,14177,0,2015
EU_Sales,Action,Diabolik Lovers: Vandead Carnival,PSV,Idea Factory,14988,0,2014
EU_Sales,Action,Diego's Build & Rescue,DS,Take-Two Interactive,11440,0,2010
EU_Sales,Action,Dies Irae: Amantes Amentes,PSP,Views,15238,0,2012
EU_Sales,Action,Digging for Dinosaurs,DS,Scholastic Inc.,5094,0,2010
EU_Sales,Action,Digimon World Re:Digitize,PSP,Namco Bandai Games,7309,0,2012
EU_Sales,Action,Dishonored,PC,Bethesda Softworks,3938,0.19,2012
EU_Sales,Action,Dishonored,PS3,Bethesda Softworks,1197,0.54,2012
EU_Sales,Action,Dishonored,PS4,Bethesda Softworks,5141,0.18,2015
EU_Sales,Action,Dishonored,X360,Bethesda Softworks,1033,0.52,2012
EU_Sales,Action,Dishonored,XOne,Bethesda Softworks,9034,0.05,2015
EU_Sales,Action,Disney Infinity,3DS,Disney Interactive Studios,6042,0.1,2013
EU_Sales,Action,Disney Infinity,PS3,Disney Interactive Studios,2079,0.35,2013
EU_Sales,Action,Disney Infinity,PSV,Disney Interactive Studios,12230,0,2013
EU_Sales,Action,Disney Infinity,Wii,Disney Interactive Studios,1031,0.44,2013
EU_Sales,Action,Disney Infinity,WiiU,Disney Interactive Studios,3347,0.22,2013
EU_Sales,Action,Disney Infinity,X360,Disney Interactive Studios,1348,0.37,2013
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,PS3,Disney Interactive Studios,2040,0.4,2014
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,PS4,Disney Interactive Studios,3378,0.24,2014
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,PSV,Disney Interactive Studios,9039,0.11,2015
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,WiiU,Disney Interactive Studios,3096,0.22,2014
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,X360,Disney Interactive Studios,1826,0.4,2014
EU_Sales,Action,Disney Infinity 2.0: Marvel Super Heroes,XOne,Disney Interactive Studios,4632,0.15,2014
EU_Sales,Action,Disney Infinity 3.0,PS3,Disney Interactive Studios,4186,0.25,2015
EU_Sales,Action,Disney Infinity 3.0,PS4,Disney Interactive Studios,2981,0.36,2015
EU_Sales,Action,Disney Infinity 3.0,WiiU,Disney Interactive Studios,4422,0.21,2015
EU_Sales,Action,Disney Infinity 3.0,X360,Disney Interactive Studios,4419,0.21,2015
EU_Sales,Action,Disney Infinity 3.0,XOne,Disney Interactive Studios,5764,0.1,2015
EU_Sales,Action,Disney Magic World 2,3DS,Nintendo,7868,0,2015
EU_Sales,Action,Disney Planes Fire & Rescue,3DS,Disney Interactive Studios,10807,0.08,2014
EU_Sales,Action,Disney Planes Fire & Rescue,Wii,Disney Interactive Studios,12564,0.05,2014
EU_Sales,Action,Disney Planes Fire & Rescue,WiiU,Disney Interactive Studios,14830,0.01,2014
EU_Sales,Action,Disney Tangled,DS,Disney Interactive Studios,1994,0.37,2010
EU_Sales,Action,Disney Tangled,Wii,Disney Interactive Studios,2947,0.17,2010
EU_Sales,Action,Disney Universe,PS3,Disney Interactive Studios,3200,0.23,2011
EU_Sales,Action,Disney Universe,Wii,Disney Interactive Studios,1935,0.3,2011
EU_Sales,Action,Disney Universe,X360,Disney Interactive Studios,3516,0.15,2011
EU_Sales,Action,DmC: Devil May Cry,PS3,Capcom,2520,0.28,2013
EU_Sales,Action,DmC: Devil May Cry,PS4,Capcom,5874,0.13,2015
EU_Sales,Action,DmC: Devil May Cry,X360,Capcom,4431,0.13,2013
EU_Sales,Action,DmC: Devil May Cry,XOne,Capcom,9373,0.04,2015
EU_Sales,Action,Doki Doki! PreCure Narikiri Life!,3DS,Namco Bandai Games,13654,0,2013
EU_Sales,Action,Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,Namco Bandai Games,13714,0,2010
EU_Sales,Action,Dokuro,PSV,GungHo,16271,0,2012
EU_Sales,Action,Doraemon: Nobita and the Island of Miracles,3DS,FuRyu,11523,0,2012
EU_Sales,Action,Doraemon: Nobita no Uchuu Eiyuuki,3DS,FuRyu,12599,0,2015
EU_Sales,Action,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,FuRyu,12024,0,2013
EU_Sales,Action,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,FuRyu,13600,0,2014
EU_Sales,Action,Downtown Nekketsu Jidaigek,3DS,Arc System Works,15443,0,2015
EU_Sales,Action,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,Arc System Works,15563,0,2015
EU_Sales,Action,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,Alchemist,13228,0,2015
EU_Sales,Action,Dragon Age II,PC,Electronic Arts,3156,0.33,2011
EU_Sales,Action,Dragon Age II,PS3,Electronic Arts,2465,0.27,2011
EU_Sales,Action,Dragon Age II,X360,Electronic Arts,1818,0.3,2011
EU_Sales,Action,Dragon Ball: Origins 2,DS,Namco Bandai Games,8597,0.02,2010
EU_Sales,Action,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Square Enix,4028,0,2015
EU_Sales,Action,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix,2864,0.13,2015
EU_Sales,Action,DuckTales: Remastered,PC,Capcom,15861,0.01,2013
EU_Sales,Action,DuckTales: Remastered,PS3,Capcom,12853,0.04,2013
EU_Sales,Action,DuckTales: Remastered,WiiU,Capcom,12573,0,2013
EU_Sales,Action,DuckTales: Remastered,X360,Capcom,13946,0,2013
EU_Sales,Action,Dungeon Hunter Alliance,PSV,Ubisoft,7214,0.1,2012
EU_Sales,Action,Durarara!! Relay,PSV,Kadokawa Games,16306,0,2015
EU_Sales,Action,Dying Light,PC,Warner Bros. Interactive Entertainment,8077,0.06,2015
EU_Sales,Action,Dying Light,PS4,Warner Bros. Interactive Entertainment,1099,0.66,2015
EU_Sales,Action,Dying Light,XOne,Warner Bros. Interactive Entertainment,2556,0.3,2015
EU_Sales,Action,Dynasty Warriors 7,PS3,Tecmo Koei,2266,0.14,2011
EU_Sales,Action,Dynasty Warriors 7,X360,Tecmo Koei,6775,0.07,2011
EU_Sales,Action,Dynasty Warriors 7: Empires,PS3,Ubisoft Annecy,9213,0,2012
EU_Sales,Action,Dynasty Warriors 7: Xtreme Legends,PS3,Tecmo Koei,6429,0.05,2011
EU_Sales,Action,Dynasty Warriors 8,PS3,Tecmo Koei,3292,0.11,2013
EU_Sales,Action,Dynasty Warriors 8,X360,Tecmo Koei,8629,0.05,2013
